Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
Hoozuki no Reitetsu,7.8,"Comedy, Demons, Supernatural, Fantasy, Seinen",TV,13,"Jan 10, 2014 to Apr 4, 2014",Winter 2014,"Starchild Records, Mainichi Broadcasting System, Kodansha",Sentai Filmworks,Wit Studio,Manga,24 min. per ep.,PG-13 - Teens 13 or older,822,1352,104944,1088,7156,45319,4744,5827
Meitantei Holmes: Mrs. Hudson Hitojichi Jiken no Maki / Dover Kaikyou no Daikuuchuusen no Maki,6.46,"Adventure, Comedy, Mystery",Movie,1,2-Aug-86,Unknown,Unknown,Unknown,TMS Entertainment,Novel,46 min.,G - All Ages,6101,11338,688,0,25,285,11,52
"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru",7.02,"Comedy, School, Slice of Life",OVA,1,22-Oct-14,Unknown,Unknown,Unknown,SILVER LINK.,Web manga,27 min.,PG-13 - Teens 13 or older,3594,1782,72431,91,938,54220,484,406
"Inari, Konkon, Koi Iroha.",7.22,"Comedy, Romance, School, Seinen, Supernatural",TV,10,"Jan 16, 2014 to Mar 20, 2014",Winter 2014,"DAX Production, flying DOG",Funimation,Production IMS,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2702,1166,127226,310,7057,67692,3832,4056
Little Nemo Pilot (1987),5.86,Adventure,Special,1,1987,Unknown,Tokyo Movie Shinsha,Discotek Media,TMS Entertainment,Picture book,10 min.,G - All Ages,8655,11302,698,0,13,442,10,35
Himeyuri,6.43,"Drama, Historical",Movie,1,23-Jun-12,Unknown,"Himeyuri Alumnae Incorporated Foundation, ASIA Documentary Productions",Unknown,Unknown,Original,31 min.,G - All Ages,6290,10913,825,0,36,284,10,38
Aoki Uru,6.51,"Military, Sci-Fi",Movie,1,Unknown,Unknown,Unknown,Unknown,Gaina,Original,Unknown,Unknown,,6340,5334,1,0,0,0,0
Teekyuu 3,6.79,"Comedy, School, Shounen, Sports",TV,12,"Oct 6, 2013 to Dec 22, 2013",Fall 2013,"DAX Production, Earth Star Entertainment",Unknown,MAPPA,Manga,2 min. per ep.,PG-13 - Teens 13 or older,4506,3460,22342,21,528,17686,246,230
Choujigen Game Neptune The Animation: Yakusoku no Eien - True End,7.29,"Action, Sci-Fi, Comedy, Fantasy",OVA,1,26-Mar-14,Unknown,"Frontier Works, Idea Factory",Funimation,David Production,Game,24 min.,PG-13 - Teens 13 or older,2385,3013,29217,75,542,21329,259,187
Maji,6.51,"Drama, Shounen",OVA,3,"Feb 3, 1990 to Dec 13, 1991",Unknown,Unknown,Unknown,Nippon Animation,Unknown,50 min. per ep.,R - 17+ (violence & profanity),15381,13446,306,1,17,69,8,38
Kimi to Boku,6.94,"Slice of Life, Drama",ONA,1,14-May-01,Unknown,Universal Radio Studio,Unknown,Unknown,Unknown,14 min.,G - All Ages,3846,8411,2378,13,79,842,50,53
Noragami,8.01,"Action, Adventure, Comedy, Supernatural, Shounen",TV,12,"Jan 5, 2014 to Mar 23, 2014",Winter 2014,"Avex Entertainment, Dentsu, Shochiku, Kodansha, Movic, Ai Addiction, Lawson HMV Entertainment, A-Sketch",Funimation,Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,528,18,1535575,29237,64183,1181215,31089,24056
Fate/kaleid liner Prisma☆Illya 2wei!,7.3,"Action, Comedy, Fantasy, Magic",TV,10,"Jul 10, 2014 to Sep 11, 2014",Summer 2014,"Lantis, Kadokawa Shoten, AT-X, DAX Production, KlockWorx, Tokyo MX, Kadokawa Media House",Sentai Filmworks,SILVER LINK.,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2328,1181,124622,250,3972,87658,2027,2023
Little Busters!: EX,7.74,"Slice of Life, Comedy, Supernatural, Drama, Romance, School",Special,8,"Jan 29, 2014 to Jul 30, 2014",Unknown,Unknown,Sentai Filmworks,J.C.Staff,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,938,2380,45647,152,2355,27652,1662,771
Harinezumi,6.51,Music,Music,1,20-Jul-12,Unknown,Sony Music Entertainment,Unknown,Unknown,Unknown,3 min.,G - All Ages,14298,14071,257,0,8,153,6,20
Z/X: Ignition,6.53,"Game, Sci-Fi, Adventure, Fantasy",TV,12,"Jan 10, 2014 to Apr 3, 2014",Winter 2014,"Sotsu, Pony Canyon, Nippon Ichi Software",Discotek Media,Telecom Animation Film,Card game,24 min. per ep.,PG-13 - Teens 13 or older,5732,2665,36722,58,2263,19757,1370,3341
